lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE
donkey	1_2	200	100	100	[195, 1, 1]	[96, 1, 1]	[99, 0, 0]	[0.99, 0.005, 0.005]	[0.98, 0.01, 0.01]	[1.0, 0.0, 0.0]	0	0	0	0.10139016899316418	1	5	1	5	3.7357142857142858	3.7131147540983607	3.7094861660079053
edge	1_2	200	100	100	[158, 9, 7, 6, 4, 4, 2, 2, 2, 1, 1, 1, 1]	[88, 0, 0, 2, 2, 3, 2, 1, 0, 1, 0, 0, 0]	[70, 9, 7, 4, 2, 1, 0, 1, 2, 0, 1, 1, 1]	[0.798, 0.045, 0.035, 0.03, 0.02, 0.02, 0.01, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005]	[0.889, 0.0, 0.0, 0.02, 0.02, 0.03, 0.02, 0.01, 0.0, 0.01, 0.0, 0.0, 0.0]	[0.707, 0.091, 0.071, 0.04, 0.02, 0.01, 0.0, 0.01, 0.02, 0.0, 0.01, 0.01, 0.01]	1	1	0	0.36740660815722453	1	5	1	5	2.926829268292683	2.4358974358974357	2.464903846153846
face	1_2	200	100	100	[185, 8, 3, 1, 1, 1, 1]	[96, 2, 1, 1, 0, 0, 0]	[89, 6, 2, 0, 1, 1, 1]	[0.925, 0.04, 0.015, 0.005, 0.005, 0.005, 0.005]	[0.96, 0.02, 0.01, 0.01, 0.0, 0.0, 0.0]	[0.89, 0.06, 0.02, 0.0, 0.01, 0.01, 0.01]	0	0	0	0.1724237908742017	1	5	1	5	3.197530864197531	3.0130208333333335	3.18979057591623
fiction	1_2	200	100	100	[179, 5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]	[89, 5, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0]	[90, 0, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1]	[0.909, 0.025, 0.01, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.89, 0.05, 0.01, 0.02, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0]	[0.928, 0.0, 0.01, 0.0, 0.021, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01]	1	0	1	0.28497995405393356	1	5	1	5	3.2536764705882355	3.4133858267716537	3.220532319391635
gas	1_2	200	100	100	[180, 10, 1, 1, 1, 1, 1]	[97, 0, 1, 1, 0, 0, 0]	[83, 10, 0, 0, 1, 1, 1]	[0.923, 0.051, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.98, 0.0, 0.01, 0.01, 0.0, 0.0, 0.0]	[0.865, 0.104, 0.0, 0.0, 0.01, 0.01, 0.01]	1	1	0	0.2835610729587899	1	5	1	5	3.53680981595092	3.0	3.0159010600706715
graft	1_2	200	100	100	[126, 53, 10, 3, 1, 1, 1, 1]	[94, 1, 2, 0, 1, 0, 0, 0]	[32, 52, 8, 3, 0, 1, 1, 1]	[0.643, 0.27, 0.051, 0.015, 0.005, 0.005, 0.005, 0.005]	[0.959, 0.01, 0.02, 0.0, 0.01, 0.0, 0.0, 0.0]	[0.327, 0.531, 0.082, 0.031, 0.0, 0.01, 0.01, 0.01]	1	1	0	0.6333337531299623	1	5	1	5	3.79874213836478	2.354948805460751	1.8780487804878048
grain	1_2	200	100	100	[135, 23, 18, 10, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[65, 15, 4, 9, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	[70, 8, 14, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]	[0.678, 0.116, 0.09, 0.05, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.65, 0.15, 0.04, 0.09, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.707, 0.081, 0.141, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	1	0	1	0.34910340978997517	1	5	1	5	2.4398496240601504	2.58203125	2.3700114025085517
head	1_2	200	100	100	[157, 15, 12, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1]	[73, 5, 10, 2, 2, 2, 1, 1, 1, 1, 1, 0, 0]	[84, 10, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]	[0.789, 0.075, 0.06, 0.015, 0.01, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.737, 0.051, 0.101, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0]	[0.84, 0.1, 0.02, 0.01, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01]	0	0	0	0.28536759490536073	1	5	1	5	2.3765625	3.021276595744681	2.6317307692307694
heel	1_2	200	100	100	[149, 15, 12, 4, 4, 4, 1, 1, 1, 1, 1, 1]	[76, 9, 5, 4, 1, 0, 1, 1, 1, 0, 0, 0]	[73, 6, 7, 0, 3, 4, 0, 0, 0, 1, 1, 1]	[0.768, 0.077, 0.062, 0.021, 0.021, 0.021, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.776, 0.092, 0.051, 0.041, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0]	[0.76, 0.062, 0.073, 0.0, 0.031, 0.042, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01]	0	0	0	0.28229675036349006	1	5	1	5	2.9147286821705425	2.6002673796791442	2.548780487804878
include	1_2	200	100	100	[200]	[100]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	5	1	5	3.6875	3.8241758241758244	3.65962441314554
land	1_2	200	100	100	[168, 12, 4, 3, 2, 1, 1, 1, 1, 1, 1]	[90, 3, 2, 0, 2, 1, 1, 0, 0, 0, 0]	[78, 9, 2, 3, 0, 0, 0, 1, 1, 1, 1]	[0.862, 0.062, 0.021, 0.015, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.909, 0.03, 0.02, 0.0, 0.02, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0]	[0.812, 0.094, 0.021, 0.031, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.26626292264398965	1	5	1	5	3.1278195488721803	2.7477064220183487	2.821981424148607
lane	1_2	200	100	100	[164, 1, 1, 1, 1, 1, 1, 1]	[82, 1, 1, 1, 1, 1, 1, 0]	[82, 0, 0, 0, 0, 0, 0, 1]	[0.959, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006]	[0.932, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.0]	[0.988, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012]	0	0	0	0.20175994645337827	1	5	1	5	3.3916666666666666	3.122093023255814	3.015873015873016
lass	1_2	200	100	100	[177, 5, 1, 1]	[96, 0, 0, 0]	[81, 5, 1, 1]	[0.962, 0.027, 0.005, 0.005]	[1.0, 0.0, 0.0, 0.0]	[0.92, 0.057, 0.011, 0.011]	1	1	0	0.20238925060791682	1	5	1	5	3.8884615384615384	2.4877450980392157	2.8052805280528053
maxim	1_2	200	100	100	[158, 1, 1, 1, 1, 1]	[96, 0, 0, 0, 0, 0]	[62, 1, 1, 1, 1, 1]	[0.969, 0.006, 0.006, 0.006, 0.006, 0.006]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.925, 0.015, 0.015, 0.015, 0.015, 0.015]	0	0	0	0.19584929964661346	1	5	1	5	3.9411764705882355	3.2954545454545454	3.4625
multitude	1_2	200	100	100	[189, 4, 1, 1, 1, 1, 1, 1, 1]	[98, 0, 1, 1, 0, 0, 0, 0, 0]	[91, 4, 0, 0, 1, 1, 1, 1, 1]	[0.945, 0.02, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.98, 0.0, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.91, 0.04, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.23650643546835062	1	5	1	5	3.3731884057971016	3.293296089385475	3.1025641025641026
ounce	1_2	200	100	100	[174, 22, 1, 1, 1]	[97, 1, 1, 0, 0]	[77, 21, 0, 1, 1]	[0.874, 0.111, 0.005, 0.005, 0.005]	[0.98, 0.01, 0.01, 0.0, 0.0]	[0.77, 0.21, 0.0, 0.01, 0.01]	1	1	0	0.3234600410868776	1	5	1	5	3.559375	3.1589285714285715	3.314031180400891
part	1_2	200	100	100	[150, 26, 7, 7, 2, 2, 2, 1, 1, 1, 1]	[72, 14, 5, 3, 1, 2, 0, 1, 1, 1, 0]	[78, 12, 2, 4, 1, 0, 2, 0, 0, 0, 1]	[0.75, 0.13, 0.035, 0.035, 0.01, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005]	[0.72, 0.14, 0.05, 0.03, 0.01, 0.02, 0.0, 0.01, 0.01, 0.01, 0.0]	[0.78, 0.12, 0.02, 0.04, 0.01, 0.0, 0.02, 0.0, 0.0, 0.0, 0.01]	0	0	0	0.21616908791852604	1	5	1	5	2.3474747474747475	2.6198979591836733	2.471529284164859
pick	1_2	200	100	100	[98, 24, 19, 17, 12, 6, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[55, 11, 8, 10, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]	[43, 13, 11, 7, 9, 4, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[0.492, 0.121, 0.095, 0.085, 0.06, 0.03, 0.02, 0.02, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.55, 0.11, 0.08, 0.1, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.434, 0.131, 0.111, 0.071, 0.091, 0.04, 0.03, 0.03, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.31040956378896134	1	5	1	5	2.3344262295081966	2.398128898128898	2.243427017225748
pin	1_2	200	100	100	[154, 17, 9, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[88, 5, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]	[66, 12, 8, 4, 2, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]	[0.778, 0.086, 0.045, 0.025, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.889, 0.051, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.667, 0.121, 0.081, 0.04, 0.02, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	1	1	0	0.3428801344371372	1	5	1	5	3.158536585365854	2.660377358490566	2.7823129251700682
plane	1_2	200	100	100	[89, 89, 5, 5, 4, 2, 1, 1, 1, 1, 1]	[83, 0, 4, 3, 4, 2, 1, 1, 1, 0, 0]	[6, 89, 1, 2, 0, 0, 0, 0, 0, 1, 1]	[0.447, 0.447, 0.025, 0.025, 0.02, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.838, 0.0, 0.04, 0.03, 0.04, 0.02, 0.01, 0.01, 0.01, 0.0, 0.0]	[0.06, 0.89, 0.01, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01]	1	1	0	0.8936279282563319	1	5	1	5	2.8818897637795278	3.3207547169811322	1.2375
player	1_2	200	100	100	[151, 9, 8, 7, 3, 1, 1, 1, 1, 1, 1, 1, 1]	[71, 9, 0, 1, 3, 1, 1, 1, 1, 1, 1, 1, 0]	[80, 0, 8, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0.812, 0.048, 0.043, 0.038, 0.016, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.78, 0.099, 0.0, 0.011, 0.033, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.0]	[0.842, 0.0, 0.084, 0.063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011]	1	1	1	0.40895887843524786	1	5	1	5	3.0668316831683167	2.8192307692307694	2.6910377358490565
prop	1_2	200	100	100	[92, 43, 12, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[74, 4, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]	[18, 39, 11, 3, 3, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[0.538, 0.251, 0.07, 0.023, 0.018, 0.012, 0.012, 0.012, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006]	[0.841, 0.045, 0.011, 0.011, 0.0, 0.023, 0.0, 0.0, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.217, 0.47, 0.133, 0.036, 0.036, 0.0, 0.024, 0.024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012, 0.012, 0.012, 0.012, 0.012]	1	1	0	0.6741576907735037	1	5	1	5	3.060185185185185	2.155349794238683	1.8898763523956723
quilt	1_2	200	100	100	[195, 3]	[99, 0]	[96, 3]	[0.985, 0.015]	[1.0, 0.0]	[0.97, 0.03]	0	0	0	0.1237726466562554	1	5	1	5	3.7142857142857144	3.763358778625954	3.6714285714285713
rag	1_2	200	100	100	[165, 9, 6, 3, 2, 1, 1, 1]	[85, 7, 2, 2, 2, 0, 0, 0]	[80, 2, 4, 1, 0, 1, 1, 1]	[0.878, 0.048, 0.032, 0.016, 0.011, 0.005, 0.005, 0.005]	[0.867, 0.071, 0.02, 0.02, 0.02, 0.0, 0.0, 0.0]	[0.889, 0.022, 0.044, 0.011, 0.0, 0.011, 0.011, 0.011]	0	0	0	0.20265946388902342	1	5	1	5	2.818014705882353	2.54149377593361	2.491035856573705
rally	1_2	161	61	100	[111, 14, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[22, 11, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]	[89, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[0.799, 0.101, 0.014, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007]	[0.524, 0.262, 0.048, 0.024, 0.024, 0.024, 0.024, 0.024, 0.024, 0.024, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.918, 0.031, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.49737375565404	1	5	1	5	2.372	3.3727272727272726	2.2819829424307034
record	1_2	200	100	100	[163, 17, 11, 1, 1, 1, 1]	[99, 0, 0, 0, 0, 0, 0]	[64, 17, 11, 1, 1, 1, 1]	[0.836, 0.087, 0.056, 0.005, 0.005, 0.005, 0.005]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.667, 0.177, 0.115, 0.01, 0.01, 0.01, 0.01]	1	1	0	0.43689186833942056	1	5	1	5	3.5925925925925926	2.5240549828178693	2.6702127659574466
relationship	1_2	200	100	100	[190, 3, 1, 1, 1, 1]	[97, 2, 1, 0, 0, 0]	[93, 1, 0, 1, 1, 1]	[0.964, 0.015, 0.005, 0.005, 0.005, 0.005]	[0.97, 0.02, 0.01, 0.0, 0.0, 0.0]	[0.959, 0.01, 0.0, 0.01, 0.01, 0.01]	0	0	0	0.14705408387110197	1	5	1	5	3.4421487603305785	3.2357142857142858	3.2449392712550607
risk	1_2	200	100	100	[200]	[100]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	5	1	5	3.8676470588235294	3.8089430894308944	3.7881679389312977
savage	1_2	200	100	100	[193, 1, 1, 1]	[100, 0, 0, 0]	[93, 1, 1, 1]	[0.985, 0.005, 0.005, 0.005]	[1.0, 0.0, 0.0, 0.0]	[0.969, 0.01, 0.01, 0.01]	0	0	0	0.12571361560472408	1	5	1	5	3.8378378378378377	3.562043795620438	3.5991735537190084
stab	1_2	192	92	100	[108, 42, 24, 3, 3, 3, 1, 1, 1, 1, 1]	[68, 15, 1, 3, 0, 0, 1, 1, 1, 0, 0]	[40, 27, 23, 0, 3, 3, 0, 0, 0, 1, 1]	[0.574, 0.223, 0.128, 0.016, 0.016, 0.016, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.756, 0.167, 0.011, 0.033, 0.0, 0.0, 0.011, 0.011, 0.011, 0.0, 0.0]	[0.408, 0.276, 0.235, 0.0, 0.031, 0.031, 0.0, 0.0, 0.0, 0.01, 0.01]	1	1	0	0.46059165226320237	1	5	1	5	3.0532544378698225	2.4798850574712645	2.41
stroke	1_2	200	100	100	[175, 8, 5, 5, 4, 1, 1, 1]	[85, 7, 5, 0, 2, 1, 0, 0]	[90, 1, 0, 5, 2, 0, 1, 1]	[0.875, 0.04, 0.025, 0.025, 0.02, 0.005, 0.005, 0.005]	[0.85, 0.07, 0.05, 0.0, 0.02, 0.01, 0.0, 0.0]	[0.9, 0.01, 0.0, 0.05, 0.02, 0.0, 0.01, 0.01]	1	1	1	0.289435209719905	1	5	1	5	3.1775956284153004	3.2107558139534884	3.1491228070175437
thump	1_2	189	89	100	[183, 2, 1, 1, 1, 1]	[86, 1, 1, 1, 0, 0]	[97, 1, 0, 0, 1, 1]	[0.968, 0.011, 0.005, 0.005, 0.005, 0.005]	[0.966, 0.011, 0.011, 0.011, 0.0, 0.0]	[0.97, 0.01, 0.0, 0.0, 0.01, 0.01]	0	0	0	0.14582343873987688	1	5	1	5	3.3703703703703702	3.434306569343066	3.3461538461538463
tip	1_2	200	100	100	[84, 45, 21, 14, 8, 6, 6, 2, 2, 1, 1, 1]	[32, 37, 0, 8, 8, 4, 1, 2, 1, 1, 0, 0]	[52, 8, 21, 6, 0, 2, 5, 0, 1, 0, 1, 1]	[0.44, 0.236, 0.11, 0.073, 0.042, 0.031, 0.031, 0.01, 0.01, 0.005, 0.005, 0.005]	[0.34, 0.394, 0.0, 0.085, 0.085, 0.043, 0.011, 0.021, 0.011, 0.011, 0.0, 0.0]	[0.536, 0.082, 0.216, 0.062, 0.0, 0.021, 0.052, 0.0, 0.01, 0.0, 0.01, 0.01]	1	1	1	0.5360909492429058	1	5	1	5	2.112704918032787	1.9722222222222223	1.6322709163346614
tree	1_2	200	100	100	[199]	[99]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	5	1	5	3.889502762430939	3.745	3.856907894736842
twist	1_2	200	100	100	[65, 63, 24, 16, 12, 5, 2, 2, 2, 2, 1, 1, 1, 1, 1]	[41, 13, 11, 9, 12, 5, 2, 2, 2, 1, 1, 1, 0, 0, 0]	[24, 50, 13, 7, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]	[0.328, 0.318, 0.121, 0.081, 0.061, 0.025, 0.01, 0.01, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.41, 0.13, 0.11, 0.09, 0.12, 0.05, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0]	[0.245, 0.51, 0.133, 0.071, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 0.01, 0.01]	1	0	1	0.49404873324869	1	5	1	5	2.434007707129094	2.4631828978622328	2.2263779527559056
word	1_2	200	100	100	[184, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[94, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]	[90, 2, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]	[0.92, 0.02, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.94, 0.02, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.9, 0.02, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.22430705308659266	1	5	1	5	3.2797202797202796	2.9166666666666665	3.176737160120846
